Date,Open,High,Low,Close,Adj Close,Volume
7/26/2018,33.1633,34.6707,32.741199,34.2486,34.2486,43421229
7/27/2018,34.972198,36.750999,33.7663,33.977299,33.977299,77879654
7/30/2018,34.218498,35.544998,33.464802,35.213402,35.213402,45718197
7/31/2018,33.947201,34.851601,32.741199,33.0728,33.0728,73300512
8/1/2018,33.313999,33.464802,31.987499,32.289001,32.289001,27600316
8/2/2018,32.560299,32.982399,32.0779,32.801498,32.801498,28561903
8/3/2018,33.1633,33.796398,32.891998,33.283901,33.283901,20415952
8/6/2018,33.464802,33.706001,32.9221,33.103001,33.103001,17173620
8/7/2018,33.1633,33.464802,32.650799,33.1633,33.1633,13446257
8/8/2018,33.1633,33.7663,33.042702,33.374298,33.374298,13158024
8/9/2018,33.193401,34.429501,33.1633,33.977299,33.977299,19972973
8/10/2018,33.977299,33.977299,32.560299,32.801498,32.801498,16079307
8/13/2018,32.741199,32.741199,31.535299,31.655899,31.655899,16079151
8/14/2018,31.7162,32.0779,31.233801,31.354401,31.354401,14217269
8/16/2018,31.3242,31.565399,30.4198,30.510201,30.510201,14081804
8/17/2018,30.6308,31.0529,30.480101,30.691099,30.691099,13131507
8/20/2018,31.0529,32.5905,30.932301,32.198502,32.198502,42678698
8/21/2018,32.680901,33.133099,31.535299,31.8971,31.8971,38249830
8/23/2018,32.108101,32.3493,31.6257,31.8368,31.8368,19888199
8/24/2018,31.8971,32.0177,31.143299,31.444799,31.444799,16166863
8/27/2018,31.535299,31.8368,30.811701,30.992599,30.992599,17781772
8/28/2018,31.113199,31.3242,30.6007,30.811701,30.811701,20479977
8/29/2018,30.992599,30.992599,29.7565,29.8771,29.8771,49828437
8/30/2018,29.937401,30.359501,29.4249,30.058001,30.058001,76782643
8/31/2018,31.776501,31.8971,29.605801,29.7565,29.7565,124109500
9/3/2018,30.4198,31.535299,29.9676,30.781601,30.781601,69636317
9/4/2018,30.902201,31.083099,29.5756,29.786699,29.786699,44277123
9/5/2018,29.907301,30.238899,28.2491,28.8822,28.8822,52176755
9/6/2018,28.8822,29.033001,27.947599,28.068199,28.068199,50456385
9/7/2018,28.068199,28.7918,27.495399,28.2792,28.2792,50878667
9/10/2018,28.158701,29.364599,27.9175,28.7918,28.7918,44041319
9/11/2018,28.821899,29.063101,27.5557,27.857201,27.857201,35039349
9/12/2018,28.5807,28.5807,27.0432,27.857201,27.857201,39430243
9/14/2018,27.947599,28.309401,27.766701,27.947599,27.947599,29201158
9/17/2018,27.857201,29.243999,27.525499,28.7616,28.7616,33568154
9/18/2018,29.153601,29.2138,27.766701,27.8873,27.8873,26272963
9/19/2018,28.038099,28.369699,27.163799,27.5858,27.5858,20055954
9/21/2018,27.7064,27.8873,24.8423,27.4049,27.4049,86893900
9/24/2018,26.651199,26.9527,24.9328,25.4151,25.4151,35452265
9/25/2018,25.023199,25.2041,23.817301,24.4202,24.4202,41750493
9/26/2018,24.8423,25.2041,24.239401,24.993099,24.993099,29852409
9/27/2018,24.993099,24.993099,23.123899,23.2143,23.2143,50116341
9/28/2018,23.2143,23.5158,21.9179,23.244499,23.244499,44536873
10/1/2018,23.365,23.5459,22.5812,23.365,23.365,31110707
10/3/2018,22.9128,23.6364,22.0084,22.129,22.129,50898553
10/4/2018,21.7069,22.34,19.9583,20.3804,20.3804,56375899
10/5/2018,20.4105,20.8627,19.8678,20.229601,20.229601,60041172
10/8/2018,20.4105,20.651699,19.6266,20.2899,20.2899,36848738
10/9/2018,20.4708,21.1642,20.1693,20.772301,20.772301,32218537
10/10/2018,20.651699,21.978201,19.928101,21.737,21.737,48172660
10/11/2018,20.3804,21.2547,20.1392,20.8326,20.8326,26206754
10/12/2018,21.103901,22.0084,21.073799,21.676701,21.676701,24723275
10/15/2018,21.948099,22.520901,21.5863,22.1591,22.1591,23337611
10/16/2018,22.129,22.5812,21.9179,22.3099,22.3099,16218153
10/17/2018,22.4907,22.9128,22.2194,22.7922,22.7922,20761814
10/19/2018,22.731899,23.244499,21.8878,22.0084,22.0084,26433180
10/22/2018,22.129,22.4606,21.0135,21.194401,21.194401,31422617
10/23/2018,21.194401,21.556101,20.5914,21.3451,21.3451,22661109
10/24/2018,21.405399,22.189301,21.224501,21.857599,21.857599,32480735
10/25/2018,21.7672,23.063601,20.802401,22.4606,22.4606,36302360
10/26/2018,22.6113,22.6415,21.9179,22.279699,22.279699,26572691
10/29/2018,22.4907,22.852501,21.978201,22.731899,22.731899,15095059
10/30/2018,22.731899,23.726801,22.551001,23.5158,23.5158,26352990
10/31/2018,23.5459,23.696699,22.6113,23.3048,23.3048,22017234
